pr.1	Nec fonte labra prolui caballino
1.78	Antiopa, aerumnis cor luctificabile fulta.
1.79	hos pueris monitus patres infundere lippos
1.80	cum videas, quaerisne unde haec sartago loquendi
1.81	venerit in linguas, unde istud dedecus, in quo
1.82	trossulus exultat tibi per subsellia levis?
1.83	Nilne pudet capiti non posse pericula cano
1.84	pellere, quin tepidum hoc optes audire decenter?
1.85	fur es, ait Pedio. Pedius quid? crimina vasis
1.86	librat in antithetis, doctas posuisse figuras
1.87	laudatur: bellum hoc. hoc bellum? an, Romule, ceves?
1.88	men moveat? quippe et, cantet si naufragus, assem
1.89	protulerim? cantas, cum fracta te in trabe pictum
1.90	ex umero portes? verum, nec nocte paratum,
1.91	plorabit qui me volet incurvasse querella.
1.92	Sed numeris decor est et iunctura addita crudis.
1.93	claudere sic versum didicit Berecyntia Attis
1.94	et qui caeruleum dirimebat Nerea delphin ;
1.95	sic costam longo subduximus Appennino.
1.96	arma virum! nonne hoc spumosum et cortice pingui,
1.97	ut ramale vetus vegrandi subere coctum?
1.98	quidnam igitur tenerum et laxa cervice legendum?
1.99	torva Mimalloneis implerunt cornua bombis,
1.100	et raptum vitulo caput ablatura superbo
1.101	Bassaris, et lyncem Maenas flexura corymbis
1.102	euhion ingeminat, reparabilis adsonat echo!
1.103	haec fierent, si testiculi vena ulla paterni
1.104	viveret in nobis? summa delumbe saliva
1.105	hoc natat in labris, et in udo est Maenas et Attis,
1.106	nec pluteum caedit nec demorsos sapit unguis.
1.107	Sed quid opus teneras mordaci radere vero
1.108	auriculas? vide sis ne maiorum tibi forte
1.109	limina frigescant: sonat hic de nare canina
1.110	littera. per me equidem sint omnia protinus alba;
1.111	nil moror: euge! omnes, omnes bene, mirae eritis res!
1.112	hoc iuvat? hic inquis veto quisquam faxit oletum.
1.113	pinge duos anguis: pueri, sacer est locus, extra
1.114	meite: discedo. secuit Lucilius urbem, te Lupe,
1.115	te Muci, et genuinum fregit in illis;
1.116	omne vafer vitium ridenti Flaccus amico
1.117	tangit et admissus circum praecordia ludit,
1.118	callidus excusso populum suspendere naso:
1.119	men muttire nefas? nec clam? nec cum scrobe? nusquam?
1.120	hic tamen infodiam. vidi, vidi ipse, lihelle:
1.121	auriculas asini quis non habet? hoc ego opertum,
1.122	hoc ridere meum, tam nil, nulla tibi vendo
1.123	Iliade. audaci quicumque adflate Cratino
1.124	iratum Eupolidem praegrandi cum sene palles,
1.125	aspice et haec, si forte aliquid decoctius audis.
1.126	inde vaporata lector mihi ferveat aure,
1.127	non hic qui in crepidas Graiorum ludere gestit
1.128	sordidus et lusco qui possit dicere lusce
1.129	sese aliquem credens, Italo quod honore supinus
1.130	fregerit heminas Arrcti aedilis iniquas,
1.131	nec qui abaco numeros et secto in pulvere metas
1.132	scit risisse vafer, multum gaudere paratus,
1.133	si cynico barbam petulans nonaria vellat.
1.134	his mane edictum, post prandia Calliroen do.
2.1	hunc, Macrine, diem numera meliore lapillo,
2.2	qui tibi labentis apponit candidus annos,
2.3	funde merum Genio, non tu prece poscis emaci
2.4	quae nisi seductis nequeas committere divis.
2.5	at bona pars procerum tacita libabit acerra;
2.6	haut cuivis promptum est murmurque humilesque susurros
2.7	tollere de templis et aperto vivere voto.
2.8	mens bona, fama, fides haec clare et ut audiat hospes;
2.9	illa sibi introrsum et sub lingua murmurat: o si
2.10	ebulliat patruus, praeclarum funus! et o si
2.11	sub rastro crepet argenti mihi seria dextro
2.12	Hercule! pupillumve utinam, quem proximus heres
2.13	inpello, expungam! namque est scabiosus et acri
2.14	bile tumet. Nerio iam tertia conditur uxor!
2.15	haec sancte ut poscas, Tiberino in gurgite mergis
2.16	mane caput bis terque et noctem flumine purgas?
2.17	Heus age, responde (minimum est quod scire laboro):
2.18	de Iove quid sentis? estne ut praeponere cures
2.19	hunc— cuinam? cuinam? vis Staio? an scilicet haeres?
2.20	quis potior iudex puerisve quis aptior orbis?
2.21	hoc igitur, quo tu Iovis aurem impellere temptas,
2.22	dic agedum Staio: pro Iuppiter! o bone, clamet,
2.23	Iuppiter! at sese non clamet Iuppiter ipse?
2.24	ignovisse putas, quia, cum tonat, ocius ilex
2.25	sulpure discutitur sacro quam tuque domusque?
2.26	an quia non fibris ovium Ergennaque iubente
2.27	triste iaces lucis evitandumque bidental,
2.28	idcirco stolidam praebet tibi vellere barbam
2.29	Iuppiter? aut quidnam est qua tu mercede deorum
2.30	emeris auriculas? pulmone et lactibus unctis?
2.31	Ecce avia aut metuens divum matertera cunis
2.32	exemit puerum, frontemque atque uda labella
2.33	infami digito et lustralibus ante salivis
2.34	expiat, urentis oculos inhibere petita;
2.35	tunc manibus quatit et spem macram supplice voto
2.36	nunc Licini in campos, nunc Crassi mittit in aedis:
2.37	hunc optent generum rex et regina; puellae
2.38	hunc rapiant; quidquid calcaverit hic, rosa fiat.
2.39	ast ego nutrici non mando vota; negato,
2.40	Iuppiter, haec illi, quamvis te albata rogarit! 
2.41	Poscis opem nervis corpusque fidele senectae,
2.42	esto, age; sed grandes patinae tuccetaque crassa
2.43	adnuere his superos vetuere Iovemque morantur.
2.44	Rem struere exoptas caeso bove Mercuriumque
2.45	accersis fibra: da fortunare penatis,
2.46	da pecus et gregibus fetum! quo pessime, pacto,
2.47	tot tibi cum in flammis iunicum omenta liquescant?
2.48	et tamen hic extis et opimo vincere ferto
2.49	intendit: iam crescit ager, iam crescit ovile,
2.50	iam dabitur, iam iam —donec deceptus et exspes
2.51	nequiquam fundo suspiret nummus in imo.
2.52	Si tibi crateras argenti incusaque pingui
2.53	auro dona feram, sudes et pectore laevo
2.54	excutiat guttas laetari praetrepidum cor.
2.55	hinc illud subiit, auro sacras quod ovato
2.56	perducis facies; nam fratres inter aenos
2.57	somnia pituita qui purgatissima mittunt
2.58	praecipui sunto sitque illis aurea barba,
2.59	aurum vasa Numae Saturniaque impulit aera
2.60	Vestalesque urnas et Tuscum fictile mutat.
2.61	O curvae in terris animae et caelestium inanis!
2.62	quid iuvat hoc, templis nostros immittere mores
2.63	et bona dis ex hac scelerata ducere pulpa?
2.64	haec sibi corrupto casiam dissolvit olivo,
2.65	et Calabrum coxit vitiato murice vellus;
2.66	haec bacam conchae rasisse et stringere venas
2.67	ferventis massae crudo de pulvere iussit.
2.68	peccat et haec, peccat, vitio tamen utitur, at vos
2.69	dicite, pontifices: in sancto quid facit aurum?
2.70	nempe hoc quod Veneri donatae a virgine pupae.
2.71	quin damus id superis, de magna quod dare lance
2.72	non possit magni Messalae lippa propago:
2.73	compositum ius fasque animo sanctosque recessus
2.74	mentis et incoctum generoso pectus honesto.
2.75	haec cedo ut admoveam templis, et farre litabo.
3.1	nempe haec adsidue? iam clarum mane fenestras
3.2	intrat et angustos extendit lumine rimas;
3.3	stertimus, indomitum quod despumare Falernum
3.4	sufficiat, quinta dum linea tangitur umbra,
3.5	en quid agis? siccas insana canicula messes
3.6	iam dudum coquit et patula pecus omne sub ulmo est
3.7	unus ait comitum. verumne? itan? ocius adsit
3.8	huc aliquis, nemon? turgescit vitrea bilis:
3.9	findor ut Arcadiae pecuaria rudere credas,
3.10	iam liber et positis bicolor membrana capillis
3.11	inque manus chartae nodosaque venit harundo;
3.12	tunc querimur crassus calamo quod pendeat umor,
3.13	nigra set infusa vanescit sepia lympha;
3.14	dilutas querimur geminet quod fistula guttas.
3.15	O miser inque dies ultra miser, hucine rerum
3.16	venimus? aut cur non potius teneroque columbo
3.17	et similis regum pueris pappare minutum
3.18	poscis et iratus mammae lallare recusas?
3.19	An tali studeam calamo? cui verba? quid istas
3.20	succinis ambages? tibi luditur. effluis amens,
3.21	contemnere: sonat vitium percussa maligne
3.22	respondet viridi non cocta fidelia limo.
3.23	udum et molle lutum es, nunc nunc properandus et acri
3.24	fingendus sine fine rota. sed rure paterno
3.25	est tibi far modicum, purum et sine labe salinum
3.26	(quid metuas?) cultrixque foci secura patella,
3.27	hoc satis? an deceat pulmonem rumpere ventis,
3.28	stemmate quod Tusco ramum millesime ducis
3.29	censoremve tuum vel quod trabeate salutas?
3.30	ad populum phaleras! ego te intus et in cute novi.
3.31	non pudet ad morem discincti vivere Nattae?
3.32	sed stupet hic vitio et fibris increvit opimum
3.33	pingue, caret culpa, nescit quid perdat, et alto
3.34	demersus summa rursus non bullit in unda.
3.35	Magne pater divum, saevos punire tyrannos
3.36	haut alia ratione velis, cum dira libido
3.37	moverit ingenium ferventi tincta veneno:
3.38	virtutem videant intabescantque relicta,
3.39	anne magis Siculi gemuerunt aera iuvenci,
3.40	et magis auratis pendens laquearibus ensis
3.41	purpureas subter cervices terruit, imus
3.42	imus praecipites quam si sibi dicat et intus
3.43	palleat infelix quod proxima nesciat uxor?
3.44	Saepe oculos, memini, tangebam parvus olivo,
3.45	grandia si nollem morituri verba Catonis
3.46	dicere non sano multum laudanda magistro,
3.47	quae pater adductis sudans audiret amicis,
3.48	iure etenim id summum, quid dexter senio ferret
3.49	scire erat in voto, damnosa canicula quantum
3.50	raderet, angustae collo non fallier orcae,
3.51	neu quis callidior buxum torquere flagello.
3.52	Haut tibi inexpertum curvos deprendere, mores,
3.53	quaeque docet sapiens bracatis inlita Medis
3.54	porticus, insomnis quibus et detonsa iuventus
3.55	invigilat siliquis et grandi pasta polenta;
3.56	et tibi, quae Samios diduxit littera ramos,
3.57	surgentem dextro monstravit limite callem; 
3.58	stertis adhuc? laxumque caput conpage soluta
3.59	oscitat hesternum dissutis undique malis?
3.60	est aliquid quo tendis, et in quod derigis arcum?
3.61	an passim sequeris corvos testaque lutoque,
3.62	securus quo pes ferat, atque ex tempore vivis?
3.63	Elleborum frustra, cum iam cutis aegra tumebit,
3.64	poscentis videas: venienti occurrite morbo,
3.65	et quid opus Cratero magnos promittere montis?
3.66	discite et, o miseri, causas cognoscite rerum:
3.67	quid sumus et quidnam victuri gignimur, ordo
3.68	quis datus aut metae qua mollis flexus et unde,
3.69	quis modus argento, quid fas optare, quid asper
3.70	utile nummus habet, patriae carisque propinquis
3.71	quantum elargiri deceat, quem te deus esse
3.72	iussit et humana qua parte Iocatus es in re;
3.73	disce, nec invideas quod multa fidelia putet
3.74	in locuplete penu defensis pinguibus Vmbris,
3.75	et piper et pernae, Marsi monumenta cluentis, 
3.76	maenaque quod prima nondum defecerit orca.
3.77	Hic aliquis de gente hircosa centurionum
3.78	dicat: quod sapio, satis est mihi. non ego curo
3.79	esse quod Arcesilas aerumnosique Solones
3.80	obstipo capite et figentes lumine terram,
3.81	murmura cum secum et rabiosa silentia rodunt
3.82	atque exporrecto trutinantur verba labello,
3.83	aegroti veteris meditantes somnia, gigni
3.84	de nihilo nihilum, in nihilum nil posse reverti,
3.85	hoc est quod palles? cur quis non prandeat hoc est?
3.86	his populus ridet, multumque torosa iuventus
3.87	ingeminat tremulos naso crispante cachinnos.
3.88	Inspice, nescio quid trepidat mihi pectus et aegris
3.89	faucibus exsuperat gravis halitus, inspice sodes
3.90	qui dicit medico, iussus requiescere, postquam
3.91	tertia conpositas vidit nox currere venas,
3.92	de maiore domo modice sitiente lagoena
3.93	lenia loturo sibi Surrentina rogavit. 
3.94	heus bone, tu palles. nihil est. videas tamen istuc,
3.95	quidquid id est: surgit tacite tibi lutea pellis.
3.96	at tu deterius palles. ne sis mihi tutor.
3.97	iam pridem hunc sepeli: tu restas. perge, tacebo.
3.98	turgidus hic epulis atque albo ventre lavatur,
3.99	gutture sulpureas lente exhalante mefites.
3.100	sed tremor inter vina subit calidumque trientem 
3.101	excutit e manibus, dentes crepuere refecti,
3.102	uncta cadunt laxis tunc pulmentaria labris.
3.103	hinc tuba, candelae, tandemque beatulus alto
3.104	conpositus lecto crassisque lutatus amomis
3.105	in portam rigidas calces extendit, at illum
3.106	hesterni capite induto subiere Quirites.
3.107	Tange, miser, venas et pone in pectore dextram,
3.108	nil calet hic. summosque pedes attinge manusque:
3.109	non frigent. visa est si forte pecunia sive
3.110	candida vicini subrisit molle puella,
3.111	cor tibi rite salit? positum est algente catino
3.112	durum olus et populi cribro decussa farina:
3.113	temptemus fauces; tenero latet ulcus in ore
3.114	putre, quod haut deceat plebeia radere beta.
3.115	alges, cum excussit membris timor albus aristas;
3.116	nunc face supposita fervescit sanguis et ira
3.117	scintillant oculi, dicisque facisque quod ipse
3.118	non sani esse hominis non sanus iuret Orestes.
4.1	Rem populi tractas? barbatum haec crede
4.2	magistrum dicere, sorbitio tollit quem dira cicutae.
4.3	quo fretus? dic hoc, magni pupille Pericli,
4.4	scilicet ingenium et rerum prudentia velox
4.5	ante pilos venit, dicenda tacendave calles.
4.6	ergo ubi commota fervet plebecula bile,
4.7	fert animus calidae fecisse silentia turbae
4.8	maiestate manus, quid deinde loquere? Quirites,
4.9	hoc puta non iustum est; illud male,rectius illud.
4.10	scis etenim iustum gemina suspendere lance
4.11	ancipitis librae, rectum discernis ubi inter
4.12	curva subit vel cum fallit pede regula varo,
4.13	et potis es nigrum vitio praefigere theta.
4.14	quin tu igitur, summa nequiquam pelle decorus,
4.15	ante diem blando caudam iactare popello
4.16	desinis, Anticyras melior sorbere meracas?
4.17	Quae tibi summa boni est? uncta vixisse patella
4.18	semper et adsiduo curata cuticula sole?
4.19	expecta, haut aliud respondeat haec anus. i nunc,
4.20	Dinomaches ego sum, suffla, sum candidus. esto,
4.21	dum ne deterius sapiat pannucia Baucis,
4.22	cum bene discincto cantavcrit ocima vernae.
4.23	Vt nemo in sese temptat descendere, nemo,
4.24	sed praecedenti spectatur mantica tergo!
4.25	quaesieris nostin Vettidi praedia? cuius?
4.26	dives arat Curibus quantum non miluus errat.
4.27	hunc ais, hunc dis iratis genioque sinistro,
4.28	qui, quandoque iugum perfusa ad compita figit,
4.29	seriolae veterem metuens deradere limum,
4.30	ingemit hoc bene sit tunicatum cum sale mordens
4.31	caepe, et farrata pueris plaudentibus olla 
4.32	pannosam faecem morientis sorbet aceti?
4.33	at si unctus cesses et figas in cute solem,
4.34	est prope te ignotus, cubito qui tangat et acre
4.35	despuat: hi mores! penemque arcanaque lumbi
4.36	runcantem populo marcentis pandere vulvas!
4.37	tunc cum maxillis balanatum gausape pectas,
4.38	inguinibus quare detonsus gurgulio extat?
4.39	quinque palaestritae licet haec plantaria vellant
4.40	elixasque nates labefactent forcipe adunca,
4.41	non tamen ista filix ullo mansuescit aratro. ’
4.42	Caedimus inque vicem pracbemus crura sagittis,
4.43	vivitur hoc pacto, sic novimus, ilia subter
4.44	caecum vulnus habes, sed lato balteus auro
4.45	praetegit. ut mavis, da verba et decipe nervos,
4.46	si potes. Egregium cum me vicinia dicat,
4.47	non credam? viso si palles, inprobe, nummo,
4.48	si facis in penem quidquid tibi venit, amarum
4.49	si puteal multa cautus vibice flagellas,
4.50	nequiquam populo bibulas donaveris aures.
4.51	respue quod non es, tollat sua munera cerdo;
4.52	tecum habita: notis quam sit tibi curta supellex.
5.1	Vatibus hic mos est, centum sibi poscere voces,
5.2	centum ora et linguas optare in carmina centum,
5.3	fabula seu maesto ponatur hianda tragoedo,
5.4	vulnera seu Parthi ducentis ab inguine ferrum.
5.5	Quorsum haec? aut quantas robusti carminis offas
5.6	ingens, ut par sit centeno gutture niti?
5.7	grande locuturi nebulas Helicone legunto,
5.8	si quibus aut Prognes aut si quibus olla Thyestae
5.9	fervebit saepe insulso cenanda Glyconi.
5.10	tu neque anhelanti, coquitur dum massa camino,
5.11	folle premis ventos, nec clauso murmure raucus
5.12	nescio quid tecum grave cornicaris inepte,
5.13	nec seloppo tumidas intendis rumpere buccas.
5.14	verba togae sequeris iunctura callidus acri,
5.15	ore teres modico, pallentis radere mores
5.16	doctus et ingenuo culpam deligere ludo.
5.17	hinc trahe quae dicis mensasque relinque Mycenis
5.18	cum capite et pedibus plebemque prandia noris.
5.19	Non equidem hoc studeo, pullatis ut mihi nugis
5.20	pagina turgescat dare pondus idonea fumo.
5.21	secrete loquimur, tibi nunc hortante Camena
5.22	excutienda damus praecordia, quantaque nostrae
5.23	pars tua sit, Cornute, animae, tibi, dulcis amice,
5.24	ostendisse iuvat, pulsa dinoscere cautus
5.25	quid solidum crepet et pictae tectoria linguae.
5.26	hic ego centenas ausim deposcere fauces,
5.27	ut quantum mihi te sinuoso in pectore fixi,
5.28	voce traham pura, totumque hoc verba resignent
5.29	quod latet arcana non enarrabile fibra.
5.30	Cum primum pavido custos mihi purpura cessit
5.31	bullaque subcinctis Laribus donata pependit,
5.32	cum blandi comites totaque impune Subura
5.33	permisit sparsisse oculos iam candidus umbo,
5.34	cumque iter ambiguum est et vitae nescius error
5.35	diducit trepidas ramosa in compita mentes,
5.36	me tibi supposui. teneros tu suscipis annos
5.37	Socratico, Cornute, sinu. tunc fallere sollers
5.38	adposita intortos extendit regula mores
5.39	et premitur ratione animus vincique laborat
5.40	artificemque tuo ducit sub pollice vultum.
5.41	tecum etenim longos memini consumere soles
5.42	et tecum primas epulis decerpere noctes,
5.43	unum opus, et requiem pariter disponimus ambo,
5.44	atque verecunda laxamus seria mensa,
5.45	non equidem hoc dubites, amborum foedere certo
5.46	consentire dies et ab uno sidere duci.
5.47	nostra vel aequali suspendit tempora Libra
5.48	Parca tenax veri, seu nata fidelibus hora
5.49	dividit in Geminos concordia fata duorum,
5.50	Saturnumque gravem nostro Iove frangimus una,
5.51	nescio quod certe est quod me tibi temperat astrum.
5.52	Mille hominum species et rerum discolor usus;
5.53	velle suum cuique est, nec voto vivitur uno.
5.54	mercibus hic Italis mutat sub sole recenti
5.55	rugosum piper et pallentis grana cumini,
5.56	hic satur inriguo mavult turgescere somno,
5.57	hic campo indulget, hunc alea decoquit, ille
5.58	in venerem putris; set cum lapidosa cheragra
5.59	fecerit articulos veteris ramalia fagi,
5.60	tunc crassos transisse dies lucemque palustrem
5.61	et sibi iam seri vitam ingemuere relictam. 
5.62	At te nocturnis iuvat inpallescere chartis;
5.63	cultor enim iuvenum purgatas inseris aures
5.64	fruge Cleanthea. petite hinc puerique senesque
5.65	finem animo certum miserisque viatica canis.
5.66	cras hoc fiet. idem cras fiet. quid? quasi magnum
5.67	finem animo certum miserisque viatica canis.nempe diem donas? sed cum lux altera venit,
5.68	iam cras hesternum consumpsimus; ecce aliud cras
5.69	egerit bos annos et semper paulum erit ultra,
5.70	nam quamvis prope te, quamvis temone sub uno
5.71	vertentem sese frustra sectabere canthum,
5.72	cum rota posterior curras et in axe secundo.
5.73	Libertate opus est. non hac, ut quisque Velina
5.74	Publius emeruit, scabiosum tesserula far
5.75	possidet, heu steriles veri, quibus una Quiritem
5.76	vertigo facit, hic Dama est non tresis agaso,
5.77	vappa lippus et in tenui farragine mendax;
5.78	verterit hunc dominus, momento turbinis exit
5.79	Marcus Dama: papae, Marco spondente recusas
5.80	credere tu nummos? Marco sub iudice palles?
5.81	Marcus dixit, ita est. adsigna, Marce, tabellas.
5.82	haec mera libertas, hoc nobis pillea donant.
5.83	An quisquam est alius liber, nisi ducere vitam
5.84	cui licet ut libuit? licet ut volo vivere: non sum
5.85	liberior Bruto? mendose colligis, inquit
5.86	stoicus hic aurem mordaci lotus aceto:
5.87	hoc reliqum accipio, licet illud et ut volo tolle.
5.88	Vindicta postquam meus a praetore recessi,
5.89	cur milli non liceat, iussit quodcumque voluntas,
5.90	excepto siquid Masuri rubrica vetavit?
5.91	Disce, sed ira cadat naso rugosaque sanna,
5.92	dum veteres avias tibi de pulmone revello,
5.93	non praetoris erat stultis dare tenvia rerum
5.94	officia, atque usum rapidae permittere vitae;
5.95	sambucam citius caloni aptaveris alto.
5.96	stat contra ratio et secretam garrit in aurem,
5.97	ne liceat facere id quod quis vitiabit agendo,
5.98	publica lex hominum naturaque continet hoc fas,
5.99	ut teneat vetitos inscitia debilis actus,
5.100	diluis elleborum certo conpescere puncto
5.101	nescius examen: vetat hoc natura medendi.
5.102	navem si poscat sibi peronatus arator
5.103	Luciferi rudis, exclamet Melicerta perisse
5.104	frontem de rebus. Tibi recto vivere talo
5.105	ars dedit et veri speciem dinoscere calles,
5.106	nequa subaerato mendosum tinniat auro?
5.107	quaeque sequenda forent quaeque evitanda vicissim,
5.108	illa prius creta, mox haec carbone notasti?
5.109	es modicus voti, presso lare, dulcis amicis?
5.110	iam nunc adstringas, iam nunc granaria laxes,
5.111	inque luto fixum possis transcendere nummum
5.112	nec gluttu sorbere salivam Mercurialem?
5.113	 haec mea sunt, teneo cum vere dixeris, esto
5.114	liberque ac sapiens praetoribus ac Iove dextro,
5.115	sin tu, cum fueris nostrae paulo ante farinae,
5.116	pelliculam veterem retines et fronte politus
5.117	astutam vapido servas in pectore volpem,
5.118	quae dederam supra relego funemque reduco:
5.119	nil tibi concessit ratio; digitum exere, peccas,
5.120	et quid tam parvum est? sed nullo ture litabis,
5.121	haereat in stultis brevis ut semuncia recti,
5.122	haec miscere nefas; nec, cum sis cetera fossor,
5.123	tris tantum ad numeros satyrum moveare Bathylli.
5.124	 Liber ego. unde datum hoc sumis, tot subdite rebus?
5.125	an dominum ignoras nisi quem vindicta relaxat?
5.126	i puer et strigiles Crispini ad balnea defer!
5.127	si increpuit, cessas nugator? servitium acre
5.128	te nihil inpellit, nec quicquam extrinsecus intrat
5.129	quod nervos agitet; sed si intus et in iecore aegro
5.130	nascuntur domini, qui tu inpunitior exis
5.131	atque hic, quem ad strigiles scutica et metus egit erilis?
5.132	Mane piger stertis. surge, inquit Avaritia, heia
5.133	surge. negas, instat: surge, inquit, non queo. surge.
5.134	et quid agam? rogas? en saperdas advehe Ponto,
5.135	castoreum, stuppas, hebenum, tus, lubrica Coa;
5.136	tolle recens primus piper ex sitiente camelo;
5.137	verte aliquid; iura. sed Iuppiter audiet. eheu,
5.138	baro, regustatum digito terebrare salinum
5.139	contentus perages, si vivere cum Iove tendis.
5.140	Iam pueris pellem succinctus et oenophorum aptas;
5.141	ocius ad navem! nihil obstat quin trabe vasta
5.142	Aegaeum rapias, ni sollers Luxuria ante
5.143	seductum moneat: quo deinde, insane, ruis, quo?
5.144	quid tibi vis? calido sub pectore mascula bilis
5.145	intumuit, quam non extinxerit urna cicutae?
5.146	tu mare transilias? tibi torta cannabe fulto
5.147	cena sit in transtro Veientanumque rubellum
5.148	exhalet vapida laesum pice sessilis obba?
5.149	quid petis? ut nummi, quos hic quincunce modesto
5.150	nutrieras, peragant avidos sudore deunces?
5.151	indulge genio, carpamns dulcia, nostrum est
5.152	quod vivis, cinis et manes et fabula fies.
5.153	vive memor leti, fugit hora, hoc quod loquor inde est.
5.154	En quid agis? duplici in diversum scindens hamo.
5.155	huncine an hunc sequeris? subeas alternus oportet
5.156	ancipiti obsequio dominos, alternus oberres.
5.157	nec tu cum obstiteris semel instantique negaris
5.158	parere imperio, rupi iam vincula dicas;
5.159	nam et luctata canis nodum abripit, at tamen illi,
5.160	cum fugit, a collo trahitur pars longa catenae.
5.161	Dave, cito, hoc credas iubeo, finire dolores
5.162	praeteritos meditor : crudum Chaerestratus unguem
5.163	adrodens ait haec. an siccis dedecus obstem
5.164	cognatis? an rem patriam rumore sinistro
5.165	limen ad obscaenum frangam, dum Chrysidis udas
5.166	ebrius ante fores extincta cum face canto?
5.167	euge puer, sapias, dis depellentibus agnam
5.168	percute. sed censen, plorabit, Dave, relicta?
5.169	nugaris; solea, puer, obiurgabere rubra,
5.170	ne trepidare velis atque artos rodere casses!
5.171	nunc ferus et violens; at si vocet, haut mora, dicas
