1	Heús, adulescens.
90	fídicinam emit, quam ipse amat, quam ábiens mandavit mihi.
91	sí sibi nunc álteram
91a	áb legione adduxit animi causa, corium perdidi.
92	nam úbi senex sénserit
93	síbi data esse verba, virgis dorsum despoliet meum.
94	át enim tu praecave.
95	át enim—bat enim, nihil est istuc. plane hoc corruptumst caput.
96	néquam homo es, Epidice.
97	quí lubidost male loqui?
97a	quía tu tete deseris.
98	quíd faciam? mén rogas?
99	tu quidem antehac aliis solebas dare consilia mutua.
100	aliquid aliqua reperiundumst. sed ego cesso ire obviam
101	adulescenti, ut quid negoti sit sciam. atque ipse illic est.
102	tristis est. cum Chaeribulo incedit aequali suo.
103	huc concedam, orationem unde horum placide persequar.
104	Rem tibi sum elocutus omnem, Chaeribule, atque admodum
105	meorum maerorum atque amorum summam edictavi tibi.
106	Praeter aetatem et virtutem stultus es, Stratippocles.
107	idne pudet te, quia captivam genere prognatam bono
108	de praeda es mercatus? quis erit, vitio qui id vortat tibi?
109	Qui invident omnes inimicos mi illoc facto repperi;
110	at pudicitiae eius numquam nec vim nec vitium attuli.
111	Iam istoc probior es meo quidem animo, cúm in amore temperes.
112	Nihil agit qui diffidentem verbis solatur suis;
113	is est amicus, qui in re dubia re iuvat, ubi rest opus.
114	Quid tibi me vis facere?
114a	Argenti dare quadraginta minas,
115	quod danistae detur, unde ego illud sumpsi faenore.
116	Si hercle haberem 
116a	Nam quid te igitur retulit
117	beneficum esse oratione, si ad rem auxilium emortuom est?
118	Quin edepol egomet clamore differor, difflagitor.
119	Malim istius modi mihi amicos furno mersos quam foro.
120	sed operam Epidici nunc me emere pretio pretioso velim.
121	quem quidem égo hominem irrigatum plagis pistori dabo,
122	nisi hodie prius comparassit mihi quadraginta minas,
123	quam argenti fuero elocutus ei postremam syllabam.
124	Salva res est: bene promittit, spero servabit fidem.
125	sine meo sumptu paratae iam sunt scapulis symbolae.
126	aggrediar hominem. advenientem péregre erum suom Stratippoclem
127	impertit salute servos Epidicus.
127a	Vbi is est?
127b	Adest.
128	salvom huc advenisse—
128a	Tam tibi istuc credo quam mihi.
129	Benene usque valuisti?
129a	A morbo valui, ab animo aeger fui.
130	Quod ad me attinuit, ego curavi: quod mandavisti mihi
131	impetratum est, empta ancilla, quod tute ad me litteras
132	missiculabas.
132a	Perdidisti omnem operam.
132b	Nam qui perdidi?
133	Quia meo neque cara est cordi neque placet.
133a	Quid retulit
134	mihi tanto opere te mandare et mittere ad me epistulas?
135	Illam amabam olím, nunc iam alia cura impendet pectori.
136	Hercle miserum est ingratum esse hómini id quod facias bene.
137	ego quod bene feci male feci, quia amor mutavit locum.
138	Desipiebam mentis, cum illa scripta mittebam tibi.
139	Men piacularem oportet fieri ob stultitiam tuam,
140	ut meum tergum tuae stultitiae subdas succidaneum?
141	Quid istic? verba facimus. huic homini ópust quadraginta minis
142	celeriter calidis, danistae quas resolvat, et cito.
143	Dic modo unde auferre me vis. a quo trápezita peto?
144	Vnde libet. nam ni ante solem occasum elo 
145	meam domum ne inbitas: tu te in pistrinum 
146	Facile tu istuc sine periclo et cura, corde libero
147	fabulare; novi ego nostros: mihi dolet cum ego vapulo.
148	Quid tu nunc? patierin ut ego me interimam?
148a	Ne feceris.
149	ego istuc accedam periclum potius atque audaciam.
150	Nunc places, nunc ego te laudo.
150a	Patiar ego istuc quod lubet.
151	Quid illa fiet fidicina igitur?
151a	Aliqua res reperibitur,
152	aliqua ope exsólvar, extricabor aliqua.
152a	Plenus consili es.
153	novi ego te.
153a	Est Euboicus miles locuples, multo auro potens,
154	qui úbi tibi istam emptam esse scibit atque hanc adductam alteram,
155	continuo te orabit ultro ut illam tramittas sibi.
156	sed ubi illa est quam tu adduxisti tecum?
156a	Iam faxo hic erit.
157	Quid hic nunc agimus?
157a	Eamus intro huc ad te, ut hunc hodie diem
158	luculentum habeamus.—
158a	Ite intro, ego de re argentaria
159	iam senatum convocabo in corde consiliarium,
160	quoi potissimum indicatur bellum unde argentum auferam.
161	Epidice, vide quid agas, ita res subito haec obiectast tibi;
162	non enim núnc tibi dormitandi neque cunctandi copia est:
163	adeundumst. senem oppugnare certumst consilium mihi.
164	i ábi intro atque ádulescenti dic iam nostro erili filio,
165	ne hinc foras ámbulet neve usquam óbviam veniat seni.—
166	Plérique homines, quós cum nil refért pudet,
167	úbi pudendum est íbi eos deserit pudor,
168	quom úsus est ut pudeat.
169	ís adeo tu és. quid est quód pudendúm siet,
170	génere natám bono paúperem domum
170a	dúcere te uxorem?
171	praesértim eam, qua ex tibi cómmemores hanc quaé domist
172	fíliam prognatam.
173	Révereor filium.
173a	At pól ego te crédidi
174	úxorem, quam tu éxtulistí, pudore éxsequi,
175	cúius quotiéns sepulcrúm vides, sácruficas
176	ílico Orco hóstiis, néque adeo iniúria,
177	quiá licitumst eam tíbi vivendo vincere.
177a	Oh,
178	Hércules égo fui, dum ílla mecúm fuit;
179	neque séxta aerumna acérbior Herculí, quam illa mihi obiéctast.
180	Pulcra édepol dos pecuniast.
180a	Quae quidem pol non maritast.
181	St, tacéte, habete animúm bonum.
182	liquido éxeo foras auspício, aví sinistra;
183	acútum cultrum habeó, senis qui exénterem marsúppium.
184	sed eccum ípsum ante aedis conspicor Apoecide†
186	qualis volo vetulos duo.
187	iam ego mé convortam in hirúdinem atque eorum éxsugebo sánguinem,
188	senáti qui columén cluent.
188a	
189	{(&7Ap&.)} cóntinuo ut maritus fiat.
189a	Laudo consilium tuom.
191	nam égo illum audivi in amorem haerere apud néscio quam fidicinam,
192	íd ego excrucior.
192a	Di hercle omnis me ádiuvant augent amant:
193	ipsi hí quidem mihi dant viam, quo pacto ab se argentum auferam.
194	age núnciam orna te, Epidice, et palliolum in collum conice
195	itaque ádsimulato quasi per urbem totam hominem quaesiveris.
196	áge, si quid agis. di immortales, utinam conveniam domi
197	Periphanem, per omnem urbém quem sum defessus quaerere:
198	per medicinas, per tonstrinas, in gymnasio atque in foro,
199	per myropolia et lanienas circumque argentarias.
200	rogitando sum raucus factus, paene in cursu concidi.
201	Epidice.
201a	Epidicum quis est qui revocat?
201b	Ego sum, Periphanes.
202	Et ego Apoecides sum.
202a	Et ego quidem sum Epidicus. sed, ere, optuma
203	vos video opportunitate ambo advenire.
203a	Quid rei est?
204	Mane dum , sine respirem quaeso.
204a	Immo adquiesce.
204b	Animo malest.
205	Recipe anhelitum.
205a	Clementer, requiesce.
205b	Animum advortite.
206	a legione omnes remissi sunt domum Thebis.
206a	Quis hoc
207	dicit factum?
207a	Ego ita factum esse dico.
207b	Scin tu istuc?
207c	Scio.
208	Qui tu scis?
208a	Quia ego ire vidi milites plenis viis;
209	arma referunt et iumenta ducunt.
209a	Nimis factum bene.
210	Tum captivorum quid ducunt secum! pueros, virgines,
211	binos, ternos, alius quinque; fit concursus per vias,
212	filios suos quisque visunt.
212a	Hercle rem gestam bene.
213	Tum meretricum numerus tantus, quantum in urbe omni fuit,
214	obviam ornatae occurrebant suis quaeque amatoribus,
215	eos captabant. id adeo qui maxime animum advorterim?
216	pleraeque eae sub vestimentis secum habebant retia.
217	quom ad portam venio, átque ego illam ílli video praestolarier
218	et cum ea tibicinae ibant quattuor.
218a	Quicum, Epidice?
219	Cum illa quam tuos gnatus annos multos deamat, deperit,
220	ubi fidemque remque seque teque properat perdere;
221	ea praestolabatur illum apud pórtam.
221a	Viden veneficam?
222	Sed vestita, aurata, ornata ut lepide, ut concinne, ut nove.
223	Quid erat induta? an regillam induculam an mendiculam?
224	Inpluviatam, ut istaec faciunt vestimentis nomina.
225	Vtin inpluvium induta fuerit?
225a	Quid istuc tam mirabile est?
226	quasi non fundis exornatae multae incedant per vias.
227	at tributus quom imperatus est, negant pendi potis:
228	illis quibus tributus maior penditur, pendi potest.
229	quid istae, quae vesti quotannis nomina inveniunt nova?
230	tunicam rallam, tunicam spissam, linteolum caesicium,
231	indusiatam, patagiatam, caltulam aut crocotulam,
232	subparum aut subnimium, ricam, basilicum aut exoticum,
233	cumatile aut plumatile, carinum aut cerinum—gerrae maxumae.
234	cani quoque etiam ademptumst nomen.
234a	Qui?
234b	Vocant Laconicum.
235	haec vocabula auctiones subigunt ut faciant viros.
236	Quin tu ut occepisti loquere?
236a	Occepere aliae mulieres
237	duae post me sic fabulari inter sese—égo abscessi sciens
238	paulum ab illis, dissimulabam earum operam sermoni dare;
239	nec satis exaudibam, nec sermonis fallebar tamen,
240	quae loquerentur.
240a	Id lubidost scire.
240b	Ibi illarum altera
241	dixit illi quicum ipsa ibat—(
241a	Quid?
241b	Tace ergo, ut audias)
242	postquam illam sunt conspicatae, quam tuos gnatus deperit:
243	“quam facile et quam fortunate évenit illi, obsecro,
244	mulieri, quam liberare volt amator.” quisnam is est?
245	inquit altera illi. ibi illa nominat Stratippoclem
246	Periphanai filium.
246a	Perii hercle. quid ego ex te audio?
247	Hoc quod actum est. egomet postquam id illas audivi loqui,
248	coepi rursum vorsum ad illas pauxillatim accedere,
249	quasi retruderet hominum me vis invitum.
249a	Intellego.
250	Ibi illa interrogavit illam: qui scis? quis id dixit tibi?
251	“quin hodie adlatae tabellae sunt ad eam a Stratippocle,
252	eum argentum sumpsisse apud Thébas ab danista faenore,
253	id paratum et sese ob eam rem id ferre.”
253a	Certo ego occidi.
254	Haec sic aibat: sic audivisse ex eapse atque epistula.
255	Quid ego nunc faciam? consilium a te expetesso, Apoecides.
256	Reperiamus aliquid calidi conducibilis consili.
257	nam ille quidem aut iam hic aderit, credo hercle, aut iam adest.
257a	Si aequom siet
258	me plus sapere quam vos, dederim vobis consilium catum,
259	quod laudetis, ut ego opino, uterque,
259a	Ergo ubi id est, Epidice?
260	Atque ad eam rem conducibile.
260a	Quid istuc dubitas dicere?
261	Vos priores esse oportet, nos posterius dicere,
262	qui plus sapitis.
262a	Eia vero, age díc.
262b	At deridebitis.
263	Non edepol faciemus.
263a	Immo, si placebit, utitor,
264	consilium si non placebit, reperitote rectius.
265	mihi istic nec seritur nec metitur, nisi ea quae tu vis volo.
266	Gratiam habeo; fac participes nos tuae sapientiae.
267	Continuo arbitretur uxor tuo gnato atque ut fidicinam
268	illam quam is volt liberare, quae illum corrumpit tibi,
269	ulciscare atque ita curetur, usque ad mortem ut serviat.
270	Fieri oportet.
270a	Facere cupio quidvis, dum id fiat modo.
270b	Em,
271	nunc occasiost faciundi, prius quam in urbem advenerit,
272	sicut cras hic aderit, hodie non venit.
272a	Qui scis?
272b	Scio.
273	quia mihi alius dixit qui illinc venit, mane hic adfore.
274	Quin tu eloquere, quid faciemus?
274a	Sic faciundum censeo
275	quasi tu cupias liberare fidicinam animi gratia
276	quasique ames vehementer tu illam.
276a	Quam ad rem istuc refert?
276b	Rogas?
277	ut enim praestines argento, prius quam veniat filius,
278	atque ut eam te in libertatem dicas emere,
278a	Intellego.
279	Vbi erit empta, ut aliquo ex urbe amoveas; nisi quid est tua
280	secus sententia.
280a	Immo docte.
280b	Quid tua autem, Apoecides?
281	Quid ego iam nisi te commentum nimis astute intellego?
282	Iam simul igitur amota ei erit omnis consultatio
283	nuptiarum, ne gravetur quod velis.
283a	Vive sapis,
284	et placet.
284a	Tum tu igitur calide quidquid acturu's acturus es age.
285	Rem hercle loquere.
285a	Et repperi, haec te qui abscedat suspicio.
286	Sine me scire.
286a	Scibis, audi.
286b	Sapit hic pleno pectore.
287	Opus est homine qui illo argentum deferat pro fidicina;
288	nam te nolo neque opus factost.
288a	Quid iam?
288b	Ne te censeat
289	fili causa facere,
289a	Docte.
289b	Quo illum ab illa prohibeas:
290	ne qua ob eam suspicionem difficultas evenat.
291	Quém hominem inveniemus ad eam rem utilem?
291a	Hic erit optimus,
292	hic poterit cavere recte, iura qui et leges tenet.
293	Epidico habeas gratiam.
293a	Sed ego istuc faciam sedulo:
294	ego illum conveniam atque adducam hunc ad eum quoiast fidicina,
295	atque argentum ego cum hoc feram.
295a	Quanti émi potest minimo?
295b	Illane?
296	ad quadraginta fortasse eam posse emi minimo minis.
297	verum si plus dederis, referam, nihil in ea re captiost.
298	atque id non decem occupatum tibi erit argentum dies.
299	Quidum?
299a	Quia enim mulierem alius illam adulescens deperit,
300	auro opulentus, magnus miles Rhodius, raptor hostium,
301	gloriosus: is emet illam de te et dabit aurum lubens.
302	face modo, est lucrum hic tibi amplum.
302a	Deos quidem oro.
302b	Impetras.
303	Quin tu is intro atque huic argentum promis? ego visam ad forum.
304	Epidice, eo veni.
304a	Ne abitas prius quam ego ad te venero.
305	Vsque opperiar.—
305a	Sequere tu intro.—
305b	I, numera, nil ego te moror.
306	nullum esse opinor ego agrum in agro Attico
307	aeque feracem quám hic est noster Periphanes:
308	quin ex occluso atque obsignato armario
309	decutio argenti tantum quantum mihi lubet.
310	quod pol ego metuo si senex resciverit,
311	ne ulmos parasitos faciat, quae usque attondeant.
312	sed me una turbat res ratioque, Apoecidi
313	quam ostendam fidicinam aliquam conducticiam.
314	atque id quoque habeo: mane me iussit senex
315	conducere aliquam fidicinam sibi huc domum,
316	quae , dum rem dinam faceret, cantaret sibi;
317	ea conducetur atque ei praemonstrabitur
318	quo pacto fiat subdola adversus senem.
319	ibo intro, argentum accipiam ab damnoso sene.—
320	Expectando éxedor míser atque exénteror,
321	quó modo mi Épidici blánda dicta évenant.
322	nímis diu máceror: sítne quid nécne sit,
323	scíre cupió.
323a	Per illám tibi cópiam
324	copíam parare aliám licet: scivi équidem in principio ilico
325	nullám tibi esse ín illo copiam.
325a	Interii hércle ego.
326	Ábsurde facis qui ángas te animi; si hércle ego illum semel préndero,
327	númquam inridére nos íllum inultúm sinam servom hominem.
328	Quíd illum facere vís, qui, tibi quoi dívitiae domi máxumae sunt,
329	is númmum nullum habés neque sodáli tuo in te cópiast.
331	Si hercle hábeam, polliceár lubens, verum áliquid aliqua aliquó modo
332	alicúnde ab alíqui aliqua tíbi spes est fore méliorem fortúnam.
333	Vaé tibi, muricide homo.
333a	Qui tibi lubet mihi male loqui?
334	Quippe tú mi aliquíd aliquo modo alicunde ab aliquibus blatis
335	quod nusquamst neque ego id inmitto in aures meas
336	nec míhi plus adiuménti †ades, quam ille quí numquam etiam nátust.
337	Fecísti iam officium tuom, me meum nunc facere oportet.
338	per hanc cúram quieto tibi licet esse—hoc quidem iam periit:
339	ne quid tibi hinc in spem referas, oppido hoc pollinctum est;
340	crede modo mihi: sic ego ago, sic egerunt nostri.
341	pro di immortales, mihi hunc diem dedistis luculentum,
342	ut facilem atque impetrabilem! sed ego hinc migrare cesso,
343	ut importem in coloniam hunc meo auspicio commeatum?
344	mihi cesso, cum sto. sed quid hoc? ante aedis duo sodales,
345	erum et Chaéribulum, conspicor. quid hic ágitis? accipe hoc sis.
346	Quantum hic inest?
346a	Quantum sat est, et plus satis: superfit.
347	decem minis plus attuli quam tu danistae debes.
348	dum tibi ego placeam atque obsequar, meum térgum flocci facio.
349	Nam quid ita?
349a	Quia ego tuom patrem faciam parenticidam.
350	Quid istúc est verbi?
350a	Nil moror vetera et volgata verba;
351	peratum ductarent: ego follitum ductitabo.
352	nam leno omne argentum abstulit pro fidicina (ego resolvi,
353	manibus his denúmeravi) pater suam natam quam esse credit;
354	nunc iterum ut fallatur pater tibique auxilium apparetur
355	inveni: nam ita suasi seni atque hanc habui orationem
355a	
356	ut cum rediisses ne tibi eius copia esset.
356a	Euge.
356b	
357	{(&7Ep&.)} ea iam domist pro filia.
357a	Iam teneo.
357b	Nunc cautorem
358	dedit mihi ad hanc rem Apoecidem, is ápud forum manet me,
359	quasique amaret caveat.
359a	Haud male.
359b	Iam ípse cautor captust.
360	ipse in meo cóllo tuos pater cruminam collocavit;
361	is adornat, adveniens domi extemplo ut maritus fias.
362	Vno persuadebit modo, si illam, quae adducta est mecum,
363	mi adempsit Orcus.
363a	Nunc ego hanc astutiam institui.
364	deveniam ad lenonem domum egomet solus, eum ego docebo,
365	si quid ad eum adveniam, ut sibi essé datum argentum dicat
366	pro fidicina, argenti minas se habere quinquaginta
367	(quippe ego qui nudiustertius meis manibus denumeravi
368	pro illa tua amica, quam pater suam filiam esse retur):
369	ibi leno sceleratum caput suom imprudens alligabit,
370	quasi pro illa argentum acceperit, quae tecum adducta nunc est.
371	Vorsutior es quam rota figularis.
371a	Iam ego parabo
372	aliquam dolosam fidicinam, nummo conducta quae sit,
373	quae se emptam simulet, quae senes duo dócte ludificetur.
374	eam ducet simul Apoecides ad tuom patrem.
374a	Vt parate.
375	Eam pérmeditatam, meis dolis astutiisque onustam
376	mittam. sed nimis longum loquor, diu me éstis demorati.
377	haec scitis iam ut futura sint. abeo.—
377a	Bene ambulato.
378	Nimis dóctus ille est ad male faciendum.
378a	Me equidem certo
379	servavit consiliis suis.
379a	Abeamus intro hinc ad me.
380	Atque aliquantó lubentius quam abs te sum egressus intus;
381	virtute atque auspicio Epidici cum praeda in castra redeo.—
382	Non oris causa modo homines aequom fuit
383	sibi habere speculum, ubi os contemplarent suom,
384	sed qui perspicere possent cor sapientiae,
385	igitur perspicere ut possent cordis copiam
386	ubi id inspexissent, cogitarent postea,
387	vitam ut vixissent olim in adulescentia.
388	vel ego, qui dudum fili causa coeperam
389	ego med excruciare animi, quasi quid filius
390	meus déliquisset me erga aut quasi non plurima
391	male facta mea essent solida in adulescentia.
392	profecto deliramus interdum senes.
393	fuit conducibile hoc quidem mea sententia.
394	sed meus sodalis it cum praeda Apoecides.
395	venire salvom mercatorem gaudeo.
396	quid fit?
396a	Di deaeque te adiuvant.
396b	Omen placet.
397	Quin omini omnes suppetunt res prospere.
398	sed tu hanc iubé sis intro abduci.
398a	Heus, foras
399	exite huc aliquis. duce istam intro mulierem.
400	atque audin?
400a	Quid vis?
400b	Cave siris cum filia
401	mea cópulari hanc neque conspicere. iam tenes?
402	in aediculam istanc sorsum concludi volo.
403	divortunt mores virgini longe ac lupae.
404	Docte et sapienter dicis. † num nimis potest
405	pudicitiam quisquam suae servare filiae.
406	edepol ne ístam temperi gnato tuo
407	sumus praémercati.
407a	Quid iam?
407b	Quia dixit mihi
408	iam dudum se alius tuom vidisse hic filium:
409	hanc edepol rem apparabat.
409a	Planum hercle hoc quidem est.
410	Ne tú habes servom graphicum et quantivis preti,
411	non carust auro contra. ut ille fidicinam
412	fecit sese ut nesciret esse emptam tibi!
413	ita ridibundam atque hilaram huc adduxit simul.
414	Mirum hoc qui potuit fieri.
414a	Te pro filio
415	facturum dixit rem esse divinam domi,
416	quia Thebis salvos redierit.
416a	Rectam institit.
417	Immo ipsus illi dixit conductam esse eam,
418	quae hic administráret ad rem divinam tibi.
419	facturum hoc dixit rem esse divinam tibi domi
420	ego illic me autem sic assimulabam: quasi
421	stolidum, combardum me faciebam.
421a	Em istuc decet.
422	Res magna amici apud forum agitur, ei volo
423	ire advocatus.
423a	At quaeso, ubi erit otium,
424	revortere ad me extemplo.
424a	Continuo hic ero.—
425	Nihil homini amicost opportuno amicius:
426	sine tuo labore quod velis actumst tamen.
427	ego si allegavissem aliquem ad hoc negotium
428	minus hominem doctum minusque ad hanc rem callidum,
429	os sublitum esset, itaque me albis dentibus
430	meus dérideret filius meritissumo.
435	sed quis hic est quém ego huc advenientem conspicor,
436	suam qui undantem chlamydem quassando facit?
437	Cave praéterbitas ullas aedis, quin roges,
438	senex híc ubi habitat Periphanes Platenius.
439	incertus tuom cave ad me rettuleris pedem.
440	Adulescens, si istunc hominem, quem tu quaeritas,
441	tibi commonstrasso, ecquam abs te inibo gratiam?
442	Virtute belli armatus promerui, ut mihi
443	omnis mortalis agere deceat gratias.
444	Non repperisti, adulescens, tranquillum locum,
445	ubi tuas virtutes explices, ut postulas.
446	nam strenuiori deterior si praedicat
447	suas pugnas, de illius illae fiunt sordidae.
448	sed istúm quem quaeris Periphanem Platenium,
449	ego sum, si quid vis.
449a	Nempe quem in adulescentia
450	memorant apud réges armis, arte duellica
451	divitias magnas indeptum?
451a	Immo si audias
452	meas púgnas, fugias manibus dimissis domum.
453	Pol égo magis unum quaero, meas cui praedicem,
454	quam illum qui memoret suas mihi.
454a	Hic non est locus;
455	proin tu alium quaeras cui centones sarcias.
431	atque haec stultitiast me illi vitio vortere
432	egomet quod factitavi in adulescentia,
433	cum militabam: pugnis memorandis meis
434	eradicabam hominum auris, quando occeperam.
456	Animum advorte, ut quod ego ad te advenio intellegas.
457	meam amicam audivi te esse mercatum.
457a	Attatae,
458	nunc demum scio ego hunc qui sit: quem dudum Epidicus
459	mihi praedicavit militem. adulescens, itast
460	ut dicis, emi.
460a	Volo te verbis pauculis,
461	si tibi molestum non est.
461a	Non edepol scio,
462	molestum necne sit, nisi dicis quid velis.
463	Mi illam ut tramittas, argentum accipias: adest.
464	nam quid ego apud te vera parcam proloqui?
465	ego illám volo hodie facere libertam meam,
466	mihi concubina quae sit.
466a	Te absolvam brevi:
467	argenti quinquaginta mi illa empta est minis;
468	si sexaginta mihi denumerantur minae,
469	tuas póssidebit mulier faxo ferias;
470	atque ita profecto, ut eam ex hoc exoneres agro.
471	Estne empta mi istis legibus?
471a	Habeas licet.
472	Conciliavisti pulchre.
472a	Heus, fóras educite
473	quam introduxistis fidicinam. atque etiam fides,
474	ei quae accessere, tibi addam dono gratiis.
475	age accipe hanc sis.
475a	Quae te intemperiae tenent?
476	quas tu mihi tenebras trudis? quin tu fidicinam
477	produci íntus iubes.
477a	Haec ergo est fidicina.
478	hic alia nullast.
478a	Non mihi nugari potes.
479	quin tu huc producis fidicinam Acropolistidem?
480	Haec inquamst.
480a	Non haec inquamst. non novisse me
481	meam rere amicam posse?
481a	Hanc, inquam, filius
482	meus deperibat fidicinam.
482a	Haec non est ea.
483	Quid? non est?
483a	Non est.
483b	Vnde haec igitur gentiumst?
484	equidem hercle argentum pro hac dedi.
484a	Stulte datum
485	reor et peccatum largiter.
485a	Immo haec east.
486	nam servom misi, qui illum sectari solet
487	meum gnátum: is ipse hanc destinavit fidicinam.
488	Em istíc homo te articulatim concidit, senex,
489	tuos servos.
489a	Quid? concidit?
489b	Sic suspiciost,
490	nam pro fidicina haec cerva supposita est tibi.
491	senex, tibi os est sublitum plane et probe.
492	ego illám requiram iam ubi ubi est.—
492a	Bellator, vale.
493	euge, euge, Epidice, frugi es, pugnavisti, homo es,
494	qui me emunxisti mucidum, minimi preti.
495	mercatus te hodie est de lenone Apoecides?
496	Fando ego istunc hominem numquam audivi ante hunc diem,
497	neque me quidem emere quisquam ulla pecunia
